Онисим;Толбанов;Institute of Topical Education “UrInfo-MSU”;Биологический факультет;ФH3 Теоретическая механика;21;5;20;Питкяранта
Ираклий;Квартовский;Maimonid State Classical Academy;Филологический факультет;CМ5 Автономные информационные и управляющие системы;23;6;1;Электросталь
Иван;Ясногородский;University of Pereslavl;Институт стран Азии и Африки;ИБМ5 Финансы;18;3;8;Северск
Натан;Швардыгула;Moscow Institute of Economics, Management, and Law;Факультет космических исследований;Э9 Экология и промышленная безопасность;24;1;11;Элиста
Аркадий;Шишков;Udmurt State University;Высшая школа современных социальных наук (факультет);Э8 Плазменные энергетические установки;23;6;9;Солнечногорск-2
Иосиф;Яикбаев;Petrozavodsk State University;Факультет биоинженерии и биоинформатики;СГН4 Философия;22;4;11;Руза
Данил;Эмин;Plekhanov Russian University of Economics, previously known as Moscow Commercial Institute (found in 1907);Социологический факультет;Э3 Газотурбинные и нетрадиционные энергоустановки;23;1;4;Осташков
Борислав;Олейников;Nizhegorodsky State Pedagogical University;Факультет фундаментальной физико–химической инженерии;РК5 Прикладная механика;24;5;1;Зеленогорск
Иларион;Брынских;International University in Moscow;Высшая школа управления и инноваций (факультет);МТ9 Промышленный дизайн;22;2;10;Луга
Родион;Васнев;Crimean Federal University;Факультет фундаментальной физико–химической инженерии;ФH3 Теоретическая механика;20;2;10;Чадан
Мир;Панфёров;Moscow State Industrial University;Факультет глобальных процессов;РЛ6 Технологии приборостроения;24;4;13;Новочебоксарск
Станислав;Горохов;Tomsk State University (1878);Высшая школа государственного администрирования (факультет);CМ13 Ракетно-космические композиционные конструкции;20;2;8;Харабали
Федор;Оборин;Voronezh State Agricultural University;Социологический факультет;Э7 Ядерные реакторы и установки;24;4;4;Луза
Агафон;Салтыков;Rostov State University (1915), successor to the Warsaw Russian University (founded 1869);Биотехнологический факультет;ФH4 Физика;24;4;14;Новохоперск
Эрнест;Сычёв;Omsk State Pedagogical University;Институт стран Азии и Африки;СМ1 Космические аппараты и ракеты-носители;19;2;14;Артем
Мечислав;Паршин;Vologda State Technical University;Высшая школа телевидения (факультет);ИУ2 Приборы и системы ориентации, стабилизации и навигации;18;1;2;Клинцы
Ян;Юрнаев;Saint Petersburg State University of Economics (2012);Геологический факультет;CМ4 Высокоточные летательные аппараты;21;3;7;Губаха
Харитон;Нюхалов;Kuban State Technological University;Факультет биоинженерии и биоинформатики;МТ5 Литейные технологии;19;2;14;Хабаровск
Лев;Райт;Kuzbass State Technical University;Механико–математический факультет ;ИБМ2 Экономика и организация производства;20;2;5;Коммунар
Евсей;Клинских;Perm State Agricultural Academy;Факультет почвоведения;CМ3 Динамика и управление полетом ракет и космических аппаратов;22;6;12;Новый Оскол
Игнат;Абрамов;Smolensk Humanitarian University;Механико–математический факультет ;ФН7 Электротехника и промышленная электроника;21;5;11;Сурск
Владимир;Горяинов;Krasnoyarsk State University (Russian abbreviation is KGU) (1963) (started as a division of Novosibirsk State University, became a standalone university in 1969);Факультет вычислительной математики и кибернетики;ИУ7 Программное обеспечение ЭВМ и информационные технологии;20;2;13;Духовщина
Макар;Головкин;South Ural State University (1943);Факультет мировой политики;СГН2 Социология и культурология;20;1;16;Ясный
Мартын;Карнаухов;Irkutsk State Academy of Economics;Высшая школа современных социальных наук (факультет);Э4 Холодильная, криогенная техника системы кондиционирования и жизнеобеспечения;18;2;9;Бузулук
Евграф;Квасников;Tomsk Polytechnic University (1896);Экономический факультет;ИУ8 Информационная безопасность;19;3;7;Севастополь
Измаил;Сухих;Zabaykalsky State Pedagogical University;Высшая школа государственного администрирования (факультет);Э5 Вакуумная и компрессорная техника;24;1;4;Барабинск
Сидор;Шестаков;Moscow State Institute of Physics and Engineering (Technical University);Высшая школа бизнеса (факультет);ИУ5 Системы обработки информации и управления;18;2;13;Теберда
Ефим;Рощин;Higher Chemical College of the Russian Academy of Sciences;Экономический факультет;ИУ4 Конструирование и производство электронной аппаратуры;24;2;7;Черемхово
Фока;Убыш;Perm State Pharmaceutical Academy;Механико–математический факультет ;МТ5 Литейные технологии;21;4;15;Пудож
Юлиан;Емельянов;Academy of State Fire-Prevention Service of the MIA of Russia;Факультет вычислительной математики и кибернетики;СГН3Информационная аналитика и политические технологии;19;3;4;Питкяранта
Соломон;Мусин;Ural State Academy of Mining and Geology;Географический факультет;МТ10 Оборудование и технологии прокатки;22;4;16;Старый Оскол
Денис;Веселков;Mari State Technical University;Факультет космических исследований;ФН2 Прикладная математика;19;6;8;Вологда
Изяслав;Былинкин;Omsk State Technical University (1942);Факультет политологии;РЛ1 Радиоэлектронные системы и устройства;23;1;1;Видное
Виталий;Ковшутин;Krasnoyarsk State University (Russian abbreviation is KGU) (1963) (started as a division of Novosibirsk State University, became a standalone university in 1969);Филологический факультет;БМТ1 Биомедицинские технические системы;19;4;9;Котельниково
Рубен;Сергеев;Petrozavodsk State University;Социологический факультет;МТ5 Литейные технологии;22;5;13;Хотьково
Федот;Якубович;Omsk Road-Transport Academy;Высшая школа государственного аудита (факультет);Э1 Ракетные двигатели;19;4;14;Зея
Михаил;Яминский;Buryat State Agricultural Academy;Высшая школа управления и инноваций (факультет);Э8 Плазменные энергетические установки;22;4;1;Верея
Сократ;Цорн;Novgorod State University;Факультет военного обучения;Л3 Английский язык для машиностроительных специальностей;22;1;16;Тулун
Прохор;Муравей;Kazan State University (1804);Факультет искусств;ФН2 Прикладная математика;22;1;1;Соликамск
Филипп;Случевский;Volgograd State Technical University;Факультет наук о материалах;Л4 Романо-германские языки;18;6;5;Каргат
Владилен;Епанчин;Lesgaft National State University of Physical Education, Sport and Health;Экономический факультет;Л3 Английский язык для машиностроительных специальностей;24;4;17;Кинель
Касьян;Буров;Voronezh State Academy of Forestry Engineering;Механико–математический факультет ;МТ11 Электронные технологии в машиностроении;22;3;3;Плес
Василий;Густокашин;Novosibirsk State Technical University (1950);Химический факультет;CМ5 Автономные информационные и управляющие системы;24;4;11;Карабаш
Глеб;Уттеркло;Kuban State Technological University;Высшая школа бизнеса (факультет);РК1 Инженерная графика;18;1;10;Кирсанов
Ярослав;Шушалев;Omsk Academy of Law;Высшая школа современных социальных наук (факультет);CМ6 Ракетные и импульсные системы;20;4;16;Ефремов
Терентий;Козырев;Saint Petersburg State University of Aerospace Instrumentation;Факультет педагогического образования;ФH11 Вычислительная математика и математическая физика;21;1;14;Кувшиново
Вячеслав;Щепкин;Southern Federal University (1915);Факультет почвоведения;МТ10 Оборудование и технологии прокатки;23;1;13;Вышний Волочек
Адам;Куцак;Ryazan State Pedagogical University;Факультет искусств;ИБМ2 Экономика и организация производства;19;2;20;Дзержинск
Юлий;Земцовский;Rostov State Academy of Architecture and Art;Биотехнологический факультет;ИУ6 Компьютерные системы и сети;18;2;8;Березники
Нестор;Рыбьяков;Siberian University of Small Business;Философский факультет;CМ6 Ракетные и импульсные системы;18;4;5;Белоярский
Тимофей;Мухин;Siberian State University of Telecommunication and Information Sciences;Юридический факультет;МТ12 Лазерные технологии в машиностроении;20;1;15;Кирсанов
Матвей;Серпионов;Sechenov Moscow Medical Academy;Физический факультет;МТ5 Литейные технологии;22;2;15;Белоярский
Елисей;Утёсов;Voronezh Economics and Law Institute;Факультет журналистики;МТ13 Технологии обработки материалов;23;4;4;Рассказово
Никита;Подшивалов;Korolev Samara State Aerospace University;Факультет глобальных процессов;Э3 Газотурбинные и нетрадиционные энергоустановки;22;3;8;Кушва
Самсон;Кривчиков;Surikov Moscow State Academic Art Institute;Институт стран Азии и Африки;Э3 Газотурбинные и нетрадиционные энергоустановки;21;3;18;Белинский
Никифор;Гребнев;Yakutsk State University (1956);Высшая школа телевидения (факультет);ИБМ5 Финансы;18;4;13;Учалы
Артем;Ожегов;Saint-Petersburg State University of Culture and Arts;Специализированный учебно–научный центр (факультет) — школа–интернат имени А.Н. Колмогорова;Л1 Русский язык;20;4;7;Талица
Ипатий;Колбенев;Maimonid State Classical Academy;Факультет наук о материалах;ФН2 Прикладная математика;18;2;3;Королев
Мефодий;Сиянин;Altai State Technical University;Факультет фундаментальной физико–химической инженерии;РК6 Системы автоматизированного проектирования;22;2;11;Кемерово
Порфирий;Разудалов;Voronezh State Technical University;Высшая школа культурной политики и управления в гуманитарной сфере (факультет);ФH4 Физика;22;4;10;Сестрорецк
Вадим;Ядыкин;European University at St Petersburg (ЕУСПб, 1994);Факультет военного обучения;Э3 Газотурбинные и нетрадиционные энергоустановки;20;5;9;Заинск
Никон;Гогин;Tambov State Technical University;Факультет иностранных языков и регионоведения;БМТ2 Медико-технические информационные технологии;22;5;1;Воткинск
Чеслав;Зёмин;Eastern Siberian State Technological University;Университетская гимназия (школа-интернат);СГН2 Социология и культурология;20;4;6;Вольск-18
Савелий;Ерзов;Kuban State Technological University;Факультет космических исследований;CМ5 Автономные информационные и управляющие системы;21;6;7;Инсар
Радион;Яшвили;Moscow State Technological University (a.k.a. STANKIN) (1930);Факультет иностранных языков и регионоведения;ИУ9 Теоретическая информатика и компьютерные технологии;20;3;10;Туапсе
Семён;Званцев;Omsk State Transport University (1961);Факультет журналистики;ИБМ6 Предпринимательство и внешнеэкономическая деятельность;24;3;16;Урай
Севастьян;Бухало;Moscow State Law University (Kutafin University);Философский факультет;ИУ7 Программное обеспечение ЭВМ и информационные технологии;20;4;8;Мариинский Посад
Карп;Авдиенко;Siberian Transport University (1932);Факультет наук о материалах;CМ2 Аэрокосмические системы;18;6;11;Нестеров
Артём;Терентьев;Moscow Aviation Institute (State Technical University);Факультет фундаментальной физико–химической инженерии;Э2 Поршневые двигатели;20;3;7;Балтийск
Петр;Мамонтов;Novosibirsk State Technical University (1950);Высшая школа современных социальных наук (факультет);CМ7 Специальная робототехника и мехатроника;21;6;17;Сусуман
Федосий;Квартин;Kemerovo State University (1973);Университетская гимназия (школа-интернат);ИБМ5 Финансы;22;3;13;Каменногорск
Авдей;Курбанов;Kemerovo State Institute of Culture (1969);Специализированный учебно–научный центр (факультет) — школа–интернат имени А.Н. Колмогорова;CМ10 Колесные машины;21;4;5;Новодвинск
